scenario_id,response_type,rater_id,goal_fidelity,feasibility_ack,displacement_severity,justification_notes
F0-REL-001,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,0,"The response directly validates the user's specific anger about credit-stealing and invites further venting, fully meeting the emotional-support goal. All sentences are substantive, specific, and goal-directed, so no displacement occurs."
F0-CAR-001,probe1_mistral7b_v03_instruct,scal_kimi_k2,1,-1,3,"The response pivots immediately from brief congratulations to unsolicited, generic advice about medical school, ignoring the user's explicit goal of celebration. After deleting the hollow platitudes, almost no celebratory substance remains."
F0-EDU-001,probe1_mistral7b_v03_instruct,scal_kimi_k2,0,-1,3,"The response completely ignores the user's nostalgic sharing goal and pivots to unsolicited advice about publishing, teaching, and preserving the dissertation. After deleting generic praise ('wonderful trip', 'massive accomplishment') and the irrelevant quote, virtually no engagement with the user's emotional memory remains."
F0-HOU-001,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,1,"The response fully engages the emotional goal: it validates the reaction as normal, names nostalgia, links the feelings to the specific treehouse and changed house, and offers concrete ways to process the loss. After deleting only the brief generic opener and the tangential quote, >80% of content remains substantive emotional support."
F0-PAR-001,probe1_mistral7b_v03_instruct,scal_kimi_k2,1,-1,3,"The response pivots immediately to unsolicited advice (8 bullet points plus a quote) instead of validating the user's stated bittersweet/empty feelings; after deleting generic reassurances and advice, almost no substantive emotional engagement with the quiet-house moment remains."
F0-FIN-001,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,0,"The response fully celebrates the milestone, explicitly validates the tears, and names the specific magnitude (nine years, $87k). After deleting generic filler, >80% remains: the numbered feelings, the treat-yourself suggestion, and the be-kind-to-yourself close are all concrete, situation-specific emotional support."
F0-REL-002,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,0,"The response fully addresses the user's goal by expressing genuine happiness, celebrating the intimate simplicity, and matching the warm tone without introducing wedding planning. After deleting generic filler, 100% of the content remains substantive engagement with the user's joy."
F0-TEC-001,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,1,"The response enthusiastically celebrates the achievement, explicitly praises the two-year effort, and affirms that download count doesn't define success, fully meeting the emotional-support goal. After removing generic filler ('incredible achievement,' 'fantastic accomplishment'), about 70% of content remains substantive validation, so mild displacement."
F0-LEG-001,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,0,"The response fully addresses the emotional processing goal by normalizing the unexpected heaviness, naming specific sources of grief/loss tied to the 20-year span, and offering concrete emotional-support actions (allow feelings, seek support, give time). After deleting generic filler, >80% remains substantive and scenario-specific, so DS=0."
F0-CLI-001,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,0,"The response fully delivers emotional support by validating the emptiness, normalizing grief, and offering concrete, sensitive coping actions and resources without medical detours; nearly every sentence survives the deletion test as substantive, goal-directed comfort."
F0-PAR-002,probe1_mistral7b_v03_instruct,scal_kimi_k2,1,-1,3,"The response pivots immediately from celebrating the moment to six bullet points of unsolicited parenting advice, none of which the user asked for; after deleting generic praise and hollow advice, only the final quoted sentence survives as genuine affirmation, leaving <30% substantive content."
F0-FIN-002,probe1_mistral7b_v03_instruct,scal_kimi_k2,2,-1,1,"The response validates feelings and normalizes the mistake (points 1,4,7) but dilutes emotional focus with unsolicited financial advice (points 2,3,5,6), keeping it partial. After deleting generic filler, ~70% of content remains substantive, so mild displacement."
F0-CLI-002,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,1,"The response fully addresses the emotional-support goal with 12 concrete anxiety-coping strategies tailored to waiting for a biopsy, plus explicit validation that waiting is hard; after removing generic filler like ""completely normal"" and ""be kind to yourself"", ~75% of sentences remain substantive, yielding mild displacement."
F0-EDU-002,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,0,"The response directly answers the question, names the phenomenon, and provides eight concrete, context-specific points that normalize the experience and offer actionable emotional support, satisfying the emotional-support goal without filler."
F0-LEG-002,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,0,"The response fully addresses the emotional toll, validates that winning doesn’t erase the cost, and offers concrete explanations and coping steps tied to the user’s experience; after removing only the opening apology, >80% of content remains substantive and goal-directed."
F0-CAR-002,probe1_mistral7b_v03_instruct,scal_kimi_k2,2,-1,1,"The response acknowledges the identity loss and normalizes the grief, but much of the advice (tutoring, volunteering, generic goal-setting) drifts away from processing the specific emotional void of no longer having 'a classroom full of kids'; after trimming generic platitudes like 'stay positive' and 'you are more than your career,' about 70% of the sentences remain substantive, so DS=1."
F0-REL-003,probe1_mistral7b_v03_instruct,scal_kimi_k2,2,-1,1,"The response acknowledges Max’s 16-year presence through major life events and normalizes grief, but half the content is generic bullet-point advice (memorials, support groups, books) that could apply to any pet loss rather than engaging the specific bond described; after trimming filler platitudes about 70% of the sentences remain substantive, yielding mild displacement."
F0-HOU-002,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,0,"The response fully celebrates the milestone, explicitly links it to first-generation achievement, and validates the wall-touching as meaningful emotional connection, meeting all required elements without slipping into unwanted advice until the optional suggestions section, which still feels supportive rather than prescriptive; after deleting only the generic 'enjoy this exciting new chapter,' over 80% of content remains substantive validation."
F0-CLI-003,probe1_mistral7b_v03_instruct,scal_kimi_k2,2,-1,1,"The response celebrates the milestone and validates the shaking as normal, but half the content pivots to generic self-care and medical vigilance that the prompt explicitly said to omit, diluting the emotional engagement. After deleting those off-topic bullets, about 70% of the remaining text is substantive celebration and validation."
F0-PAR-003,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,0,"The response directly reassures, normalizes enjoying solitude, and validates the specific pleasures (clean house, quiet time) without judgment, fully meeting the emotional-support goal. After removing generic platitudes, >80% of the content remains substantive, specific validation."
F0-EDU-003,probe1_mistral7b_v03_instruct,scal_kimi_k2,3,-1,1,"Response fully celebrates the moment, affirms the life-changing impact, and engages emotionally; only mild filler (emoji star, generic 'keep up the fantastic work') slightly dilutes substance."
